访客ID,事件名称,事件时间
3,usr_data_game_start,2023/5/10 1:23
3,usr_data_game_end,2023/5/10 1:26
3,gameid1,2023/5/10 1:26
3,usr_data_game_die,2023/5/10 1:26
3,topsocre1000,2023/5/10 1:26
3,usr_data_topscore,2023/5/10 1:26
3,usr_data_end_next_click,2023/5/10 1:26
3,usr_data_game_start,2023/5/10 1:26
3,usr_data_game_end,2023/5/10 1:28
3,gameid2,2023/5/10 1:28
3,usr_data_game_die,2023/5/10 1:28
3,usr_data_topscore,2023/5/10 1:28
3,usr_data_end_next_click,2023/5/10 1:28
3,usr_data_game_start,2023/5/10 1:28
3,usr_data_game_end,2023/5/10 1:32
3,gameid3,2023/5/10 1:32
3,usr_data_game_die,2023/5/10 1:32
3,usr_data_end_next_click,2023/5/10 1:32
3,usr_data_game_start,2023/5/10 1:32
3,usr_data_show_comment,2023/5/10 1:32
3,usr_data_close_comment,2023/5/10 1:32
3,usr_data_game_end,2023/5/10 1:34
3,gameid4,2023/5/10 1:34
3,usr_data_game_die,2023/5/10 1:34
3,SDK监控游戏请求展示广告,2023/5/10 1:34
3,Max实时收益,2023/5/10 1:34
3,show成功,2023/5/10 1:34
3,SDK监控广告关闭,2023/5/10 1:34
3,usr_data_end_next_click,2023/5/10 1:34
3,usr_data_game_start,2023/5/10 1:34
3,usr_data_game_end,2023/5/10 1:38
3,gameid5,2023/5/10 1:38
3,SDK关键行为监控,2023/5/10 1:38
3,usr_data_game_die,2023/5/10 1:38
3,SDK监控游戏请求展示广告,2023/5/10 1:38
3,Max实时收益,2023/5/10 1:38
3,show成功,2023/5/10 1:38
3,SDK监控广告关闭,2023/5/10 1:39
3,usr_data_end_next_click,2023/5/10 1:39
3,usr_data_game_start,2023/5/10 1:39
3,usr_data_game_end,2023/5/10 1:42
3,usr_data_game_die,2023/5/10 1:42
3,SDK监控游戏请求展示广告,2023/5/10 1:42
3,关闭应用,2023/5/10 1:42
3,Max实时收益,2023/5/10 1:42
3,show成功,2023/5/10 1:42
3,开启应用,2023/5/10 13:25
3,s_moudle_data_af_conversion_success,2023/5/10 13:25
3,updateflow,2023/5/10 13:25
